#SampleID	State	Year	SiteAlias	SampleID2	newSampleID	Under	Collected-Date	WaterbodyName	Latitude	Longitude	COMID	US-L4CODE	US-L3CODE	DIST-Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI-v2-1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN-2008Cat	NO3-2008Cat	InorgNWetDep-2008Cat	NH4-2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST-Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw-fluxCat	WaterInputCat	wdrw-LDCat	WetIndexCat	Temperature-DegC	SpecConductivity-msCm	DO	Tot-Alk	NO3NO2	Chloride	Chla-area	Color-app	TKN	TN	TP	Turbidity	TDS	Chla-conc	pH
PrimeStrs-4305	MA	2025	PrimeStrs-4305	PrimeStrs-4305	PrimeStrs_4305-2025	PrimeStrs_4305	9/6/2025	Cady Brook	42.144748	-71.993801	6144305	59c	59	Strs	13.0239	13.0239	53.7435	258.7962	2.278	14.2068	4.367	6.6435	60.4385	2.6569	0.04	0.15	1.9785	0.0402	0.2989	110.4507	0.512982782	9.2	0.0279	0.2197	99.79	680.0235	12.6397	4.7693	2.4744	17.33	47.13	7.76	11.53	7.55	0.21	29681.96862	28952.57904	1248.535592	13.90883404	8.732200865	-9.438069279	18.43074989	89.8852	689	6.44	45.6692	73.97	0.79	5.36	139.3	393420.4231	0.000254381	373.8856	788.1667	20.4	637	8.22	30.8	0.15	140	0.0045	14	0.453	0.6	0.01	0.54	300	0.914	6.91
PrimeStrs-8803	MA	2025	PrimeStrs-8803	PrimeStrs-8803	PrimeStrs_8803-2025	PrimeStrs_8803	9/7/2025	West Branch Westfield River	42.332167	-73.074457	6098803	58c	58	Strs	4.5603	60.0759	43.09	430.713	2.4087	13.8391	2.4396	5.1666	67.328	1.7877	0.0311	0.1301	2.678	0.0089	0.1643	133.2324	0.806636814	0.59	0.0036	0.23	100	751.8628	14.1249	5.3243	2.758	0.99	89.38	1.22	4.15	1.22	0	5361.469319	4292.043912	1289.674023	12.90215144	7.110907551	-11.29407919	18.66670073	135.5418	711	5.8515	39.7557	143.5773	1.3763	8.2272	101.3756	561412	0.0000023	4.4927	721.4969	14.6	9.51	143	42.5	0.05	12	0.0027	18	0.354	0.35	0.005	0.44	78	0.544	7.58
PrimeRef-7271	MA	2025	PrimeRef-7271	PrimeRef-7271	PrimeRef_7271-2025	PrimeRef_7271	9/7/2025	Sanderson Brook	42.25418274	-72.94869942	6097271	58e	58	Ref	1.8342	11.4003	44	312.5597	1.4131	12.3484	2.3992	6.7274	64.4494	2.791	0.0359	0.1284	1.8629	0.0224	0.1584	150.633	0.804893815	0.22	0.0005	0.223	100	798.7787	14.9413	5.6321	2.9178	0.39	95.58	0	0.29	0	0	2011.784545	1644.075547	1260.328357	13.95388432	7.790166562	-11.5288028	17.47503641	141.5385	711	5.9521	42.3829	119.7318	0.6926	6.9735	106.1554	561412	0.00000222	20.2176	654.2556	14.9	98.8	9.94	18.5	0.1	15	0.0062	11	0.15	0.15	0.005	0.31	96	1.25	7.47
PrimeStrs-8803-QC	MA	2025	PrimeStrs-8803	PrimeStrs-8803-QC	PrimeStrs_8803_QC-2025	PrimeStrs_8803_QC	9/7/2025	West Branch Westfield River	42.332167	-73.074457	6098803	58c	58	Strs	4.5603	60.0759	43.09	430.713	2.4087	13.8391	2.4396	5.1666	67.328	1.7877	0.0311	0.1301	2.678	0.0089	0.1643	133.2324	0.806636814	0.59	0.0036	0.23	100	751.8628	14.1249	5.3243	2.758	0.99	89.38	1.22	4.15	1.22	0	5361.469319	4292.043912	1289.674023	12.90215144	7.110907551	-11.29407919	18.66670073	135.5418	711	5.8515	39.7557	143.5773	1.3763	8.2272	101.3756	561412	0.0000023	4.4927	721.4969	0	0	0	43.3	0.05	15	0.0054	19	0.342	0.34	0.005	0.48	91	1.1	7.65
PrimeStrs-1863	MA	2025	PrimeStrs-1863	PrimeStrs-1863	PrimeStrs_1863-2025	PrimeStrs_1863	9/7/2025	North Branch Manhan River	42.29977505	-72.74292555	6781863	58e	58	Strs	1.386	32.3487	47.5948	141.343	1.4559	11.8381	8.2467	5.9164	51.4242	2.752	0.059	0.1328	1.9504	0.0315	0.2395	93.3819	0.362900516	1.75	0.0806	0.2199	79.74	677.9776	12.6431	4.7841	2.4937	3.51	54.48	29.8	9.42	27.92	1.88	4133.407134	3915.990804	1199.520235	14.86759576	8.741569416	-10.8411036	19.13047214	156.6622	616	6.44	45.6627	73.97	0.79	5.36	139.3	385693	0.000107937	121.1688	813.6734	15.8	140.2	9.82	29.7	0.47	19	0.0008	18	0.4	0.87	0.013	1	100	0.165	7.45
PrimeStrs-97435	MA	2025	PrimeStrs-97435	PrimeStrs-97435	PrimeStrs_97435-2025	PrimeStrs_97435	9/7/2025	Westfield River	42.15510819	-72.81341348	6097435	58e	58	Strs	7.2702	919.3203	43.9432	96.9889	0.854	11.0633	1.1593	4.1904	67.871	1.7373	0.0571	0.1258	2.4895	0.0549	0.1316	95.5135	0.382899502	6.6	0.0412	0.2238	47.72	700.3035	13.0371	4.9183	2.5514	12.71	52.2	17.29	2.7	5.29	12	21122.3984	22007.01061	1215.196442	15.24638364	9.401662334	-9.704419263	23.03194453	148.7696	711	2.9309	65.9867	129.3733	0.9263	28.5618	146.0562	561412	0.000457437	1012.8556	839.502	20	158.2	10.18	29.1	0.15	25	0.0006	11	0.338	0.49	0.012	0.62	100	0.123	7.79
PrimeRef-2325	MA	2025	PrimeRef-2325	PrimeRef-2325	PrimeRef_2325-2025	PrimeRef_2325	9/5/2025	Unnamed Tributary	42.62248944	-71.02018566	5862325	59h	59	Ref	4.2381	4.2381	54.8528	33.321	3.5367	16.2515	5.1597	5.591	62.1231	2.4459	0.0319	0.1857	1.885	0.0066	0.0037	172.3912	0.826285215	0.79	0.0026	0.1827	100	599.4772	10.8938	4.0676	2.076	1.55	63.52	0.4	31.13	0.4	0	8574.501369	8152.487286	1240.007463	15.02160962	9.503704301	-8.176343223	18.64863091	14.3847	509	6.3871	49.637	117.1141	1.0114	10.2564	116.5482	2004387	0.00000947	47.5259	827.6581	16.9	165.3	2.81	40.4	0.05	8.9	0.0022	120	1.11	1.1	0.063	9.8	79	0.352	6.6
OverStrs-6365	MA	2025	OverStrs-6365	OverStrs-6365	OverStrs_6365-2025	OverStrs_6365	9/5/2025	Horn Pond Brook	42.4611599	-71.149215	5866365	59d	59	Strs	2.7468	40.4433	54.8139	29.0436	3.0203	15.8607	7.7203	8.98	53.7566	4.7733	0.0547	0.2186	1.2503	0.0099	0.4574	193.3754	0.384118117	64.38	0.0014	0.1852	83.72	613.1938	11.1152	4.1606	2.1317	91.45	2.53	0	0	0	0	37977.02285	45894.24673	1268.617585	15.22602644	9.784422969	-7.868676402	19.76305588	6.7363	509	2.589	67.6133	133.0742	0.9342	30.6677	142.6716	2004387	0.0000121	9.6267	828.1687	18.6	1328	7.53	68.2	0.94	340	0.0075	26	0.784	1.7	0.048	3.1	1000	1.34	7.12
PrimeStrs-7435	MA	2025	PrimeStrs-7435	PrimeStrs-7435	PrimeStrs_7435-2025	PrimeStrs_7435	9/5/2025	Charles River	42.258074	-71.262729	5867435	59d	59	Strs	3.7476	476.8776	58.4604	45.2238	3.2958	15.0922	5.6681	7.0191	60.1469	3.6063	0.0262	0.2271	2.4728	0.009	0.4053	148.4034	0.610216571	6.38	0.0115	0.18	26.61	581.9047	10.5858	3.9667	2.0354	13.42	58.57	2.57	13.19	2.57	0	12689.82904	13171.44527	1249.263117	15.70451759	9.754924097	-7.789409287	21.32290375	15.5266	509	7.2	45.99	127.1	0.77	8.09	103.16	2004387	0.00018386	92.8465	809.6263	22.7	650	8.31	46.7	0.57	120	0.001	28	1.15	1.7	0.021	0.97	300	0.164	7.72
PrimeRef-6366	MA	2025	PrimeRef-6366	PrimeRef-6366	PrimeRef_6366-2025	PrimeRef_6366	9/6/2025	Tinkerville Brook	42.0170032	-71.7207131	6116366	59c	59	Ref	4.1778	13.9194	51.9834	164.904	3.1329	14.5333	4.1889	5.5876	64.71	2.499	0.0222	0.121	2.8038	0.003	0.0082	175.5256	0.790890536	1.16	0.0078	0.2331	96.85	626.2503	11.6358	4.3709	2.2511	2.22	79.58	2.52	7.99	2.52	0	6649.938865	6104.237328	1259.448967	14.81162479	9.297794246	-9.440736616	20.3512707	94.3218	700	6.1578	48.1696	114.8788	2.9556	10.1242	135.0101	776153	0.0000286	127.6161	821.5358	19.4	109.4	7.55	12.3	0.18	19	0.0012	43	0.547	0.73	0.013	1.4	72	0.252	7.18
